Currency,Index Name,CDM Enum Value,Description
CHF,SARON,CHF-SARON Average 9M,SARON Average 9 Month
CHF,SARON,CHF-SARON Compounded Index,SARON Compounded Index
CHF,SARON,CHF-SARON-OIS Compound,SARON OIS Compound
CHF,SARON,CHF-SARON-OIS-COMPOUND,SARON OIS Compound (Alternative)
CHF,TOIS,CHF-TOIS-OIS-COMPOUND,TOIS OIS Compound
CHF,Basis Swap,CHF USD-Basis Swaps-11:00-ICAP,CHF USD Basis Swaps 11:00 ICAP
CL,CLICP,CL-CLICP-Bloomberg,Chilean Inflation Index via Bloomberg
CLP,ICP,CLP-ICP,Chilean Peso ICP
CLP,TNA,CLP-TNA,Chilean Peso TNA
CNH,HIBOR,CNH-HIBOR,CNH Hong Kong Interbank Offered Rate
CNH,HIBOR,CNH-HIBOR-Reference Banks,CNH HIBOR Reference Banks
CNH,HIBOR,CNH-HIBOR-TMA,CNH HIBOR TMA
CNY,Repo,CNY 7-Repo Compounding Date,CNY 7-Day Repo Compounding Date
CNY,Repo,CNY-CNREPOFIX=CFXS-Reuters,CNY Repo Fix via Reuters
CNY,Deposit,CNY-Deposit Rate,CNY Deposit Rate
CNY,Repo,CNY-Fixing Repo Rate,CNY Fixing Repo Rate
CNY,LPR,CNY-LPR,CNY Loan Prime Rate
CNY,PBOCB,CNY-PBOCB-Reuters,CNY PBOC Benchmark via Reuters
CNY,Swap Rate,CNY-Quarterly 7 day Repo Non Deliverable Swap Rate-TRADITION,Quarterly 7 day Repo NDS Rate TRADITION
CNY,Swap Rate,CNY-Quarterly 7 day Repo Non Deliverable Swap Rate-TRADITION-Reference Banks,Quarterly 7 day Repo NDS Rate TRADITION Reference Banks
CNY,Swap Rate,CNY-Quarterly 7D Repo NDS Rate Tradition,Quarterly 7D Repo NDS Rate Tradition
CNY,Swap Rate,CNY-Semi-Annual Swap Rate-11:00-BGCANTOR,Semi-Annual Swap Rate 11:00 BGCANTOR
CNY,Swap Rate,CNY-Semi-Annual Swap Rate-Reference Banks,Semi-Annual Swap Rate Reference Banks
CNY,SHIBOR,CNY-SHIBOR,Shanghai Interbank Offered Rate
CNY,SHIBOR,CNY-SHIBOR-OIS Compound,SHIBOR OIS Compound
CNY,SHIBOR,CNY-Shibor-OIS-Compounding,SHIBOR OIS Compounding
CNY,SHIBOR,CNY-SHIBOR-Reuters,SHIBOR via Reuters
COP,IBR,COP-IBR-OIS Compound,Colombian IBR OIS Compound
COP,IBR,COP-IBR-OIS-COMPOUND,Colombian IBR OIS Compound (Alternative)
CZK,Swap Rate,CZK-Annual Swap Rate-11:00-BGCANTOR,Annual Swap Rate 11:00 BGCANTOR
CZK,Swap Rate,CZK-Annual Swap Rate-Reference Banks,Annual Swap Rate Reference Banks
CZK,CZEONIA,CZK-CZEONIA,Czech Overnight Index Average
CZK,CZEONIA,CZK-CZEONIA-OIS Compound,CZEONIA OIS Compound
CZK,PRIBOR,CZK-PRIBOR,Prague Interbank Offered Rate
CZK,PRIBOR,CZK-PRIBOR-PRBO,PRIBOR PRBO
CZK,PRIBOR,CZK-PRIBOR-Reference Banks,PRIBOR Reference Banks
DKK,CIBOR,DKK-CIBOR,Copenhagen Interbank Offered Rate
DKK,CIBOR,DKK-CIBOR2,CIBOR2
DKK,CIBOR,DKK-CIBOR2-Bloomberg,CIBOR2 via Bloomberg
DKK,CIBOR,DKK-CIBOR2-DKNA13,CIBOR2 DKNA13
DKK,CIBOR,DKK-CIBOR-DKNA13,CIBOR DKNA13
DKK,CIBOR,DKK-CIBOR-DKNA13-Bloomberg,CIBOR DKNA13 via Bloomberg
DKK,CIBOR,DKK-CIBOR-Reference Banks,CIBOR Reference Banks
DKK,CITA,DKK-CITA,DKK CITA
DKK,CITA,DKK-CITA-DKNA14-COMPOUND,CITA DKNA14 Compound
DKK,DESTR,DKK-DESTR,Danish Euro Short-Term Rate
DKK,DESTR,DKK-DESTR Compounded Index,DESTR Compounded Index
DKK,DESTR,DKK-DESTR-OIS Compound,DESTR OIS Compound
DKK,DKKOIS,DKK-DKKOIS-OIS-COMPOUND,DKKOIS OIS Compound
DKK,Tom Next,DKK-Tom Next-OIS Compound,Tom Next OIS Compound
EUR,EURIBOR Swap,EUR-3M EURIBOR SWAP-CME vs LCH-ICAP,3M EURIBOR Swap CME vs LCH ICAP
EUR,EURIBOR Swap,EUR-3M EURIBOR SWAP-CME vs LCH-ICAP-Bloomberg,3M EURIBOR Swap CME vs LCH ICAP Bloomberg
EUR,EURIBOR Swap,EUR-3M EURIBOR SWAP-EUREX vs LCH-ICAP,3M EURIBOR Swap EUREX vs LCH ICAP
EUR,EURIBOR Swap,EUR-3M EURIBOR SWAP-EUREX vs LCH-ICAP-Bloomberg,3M EURIBOR Swap EUREX vs LCH ICAP Bloomberg
EUR,EURIBOR Swap,EUR-6M EURIBOR SWAP-CME vs LCH-ICAP,6M EURIBOR Swap CME vs LCH ICAP
EUR,EURIBOR Swap,EUR-6M EURIBOR SWAP-CME vs LCH-ICAP-Bloomberg,6M EURIBOR Swap CME vs LCH ICAP Bloomberg
EUR,EURIBOR Swap,EUR-6M EURIBOR SWAP-EUREX vs LCH-ICAP,6M EURIBOR Swap EUREX vs LCH ICAP
EUR,EURIBOR Swap,EUR-6M EURIBOR SWAP-EUREX vs LCH-ICAP-Bloomberg,6M EURIBOR Swap EUREX vs LCH ICAP Bloomberg
EUR,Swap Rate,EUR-Annual Swap Rate-10:00,Annual Swap Rate 10:00
EUR,Swap Rate,EUR-Annual Swap Rate-10:00-BGCANTOR,Annual Swap Rate 10:00 BGCANTOR
EUR,Swap Rate,EUR-Annual Swap Rate-10:00-Bloomberg,Annual Swap Rate 10:00 Bloomberg
EUR,Swap Rate,EUR-Annual Swap Rate-10:00-ICAP,Annual Swap Rate 10:00 ICAP
EUR,Swap Rate,EUR-Annual Swap Rate-10:00-SwapMarker,Annual Swap Rate 10:00 SwapMarker
EUR,Swap Rate,EUR-Annual Swap Rate-10:00-TRADITION,Annual Swap Rate 10:00 TRADITION
EUR,Swap Rate,EUR-Annual Swap Rate-11:00,Annual Swap Rate 11:00
EUR,Swap Rate,EUR-Annual Swap Rate-11:00-Bloomberg,Annual Swap Rate 11:00 Bloomberg
EUR,Swap Rate,EUR-Annual Swap Rate-11:00-ICAP,Annual Swap Rate 11:00 ICAP
EUR,Swap Rate,EUR-Annual Swap Rate-11:00-SwapMarker,Annual Swap Rate 11:00 SwapMarker
EUR,Swap Rate,EUR-Annual Swap Rate-3 Month,Annual Swap Rate 3 Month
EUR,Swap Rate,EUR-Annual Swap Rate-3 Month-SwapMarker,Annual Swap Rate 3 Month SwapMarker
EUR,Swap Rate,EUR-Annual Swap Rate-4:15-TRADITION,Annual Swap Rate 4:15 TRADITION
EUR,Swap Rate,EUR-Annual Swap Rate-Reference Banks,Annual Swap Rate Reference Banks
EUR,Basis Swap,EUR Basis Swap-EONIA vs 3m EUR+IBOR Swap Rates-A/360-10:00-ICAP,Basis Swap EONIA vs 3m EURIBOR 10:00 ICAP
EUR,CNO,EUR-CNO TEC10,EUR CNO TEC10
EUR,EONIA,EUR-EONIA,Euro Overnight Index Average
EUR,EONIA,EUR-EONIA-AVERAGE,EONIA Average
EUR,EONIA,EUR-EONIA-Average,EONIA Average (Alternative)
EUR,EONIA,EUR-EONIA-OIS-10:00-BGCANTOR,EONIA OIS 10:00 BGCANTOR
EUR,EONIA,EUR-EONIA-OIS-10:00-ICAP,EONIA OIS 10:00 ICAP
EUR,EONIA,EUR-EONIA-OIS-10:00-TRADITION,EONIA OIS 10:00 TRADITION
EUR,EONIA,EUR-EONIA-OIS-11:00-ICAP,EONIA OIS 11:00 ICAP
EUR,EONIA,EUR-EONIA-OIS-4:15-TRADITION,EONIA OIS 4:15 TRADITION
EUR,EONIA,EUR-EONIA-OIS Compound,EONIA OIS Compound
EUR,EONIA,EUR-EONIA-OIS-COMPOUND,EONIA OIS Compound (Alternative)
EUR,EONIA,EUR-EONIA-OIS-COMPOUND-Bloomberg,EONIA OIS Compound Bloomberg
EUR,EONIA,EUR-EONIA-Swap-Index,EONIA Swap Index
EUR,EURIBOR,EUR-EURIBOR,Euro Interbank Offered Rate
EUR,EURIBOR,EUR-EURIBOR-Act/365,EURIBOR Act/365
EUR,EURIBOR,EUR-EURIBOR-Act/365-Bloomberg,EURIBOR Act/365 Bloomberg
EUR,EURIBOR,EUR EURIBOR-Annual Bond Swap vs 1m-11:00-ICAP,EURIBOR Annual Bond Swap vs 1m 11:00 ICAP
EUR,EURIBOR,EUR EURIBOR-Basis Swap-1m vs 3m-Euribor-11:00-ICAP,EURIBOR Basis Swap 1m vs 3m 11:00 ICAP
EUR,EURIBOR,EUR EURIBOR-Basis Swap-3m vs 6m-11:00-ICAP,EURIBOR Basis Swap 3m vs 6m 11:00 ICAP
EUR,EURIBOR,EUR-EURIBOR ICE Swap Rate-11:00,EURIBOR ICE Swap Rate 11:00
EUR,EURIBOR,EUR-EURIBOR ICE Swap Rate-12:00,EURIBOR ICE Swap Rate 12:00
EUR,EURIBOR,EUR-EURIBOR-Reference Banks,EURIBOR Reference Banks
EUR,EURIBOR,EUR-EURIBOR-Reuters,EURIBOR Reuters
EUR,EURIBOR,EUR-EURIBOR-Telerate,EURIBOR Telerate
EUR,EURONIA,EUR-EURONIA-OIS Compound,EURONIA OIS Compound
EUR,EURONIA,EUR-EURONIA-OIS-COMPOUND,EURONIA OIS Compound (Alternative)
EUR,EuroSTR,EUR-EuroSTR,Euro Short-Term Rate
EUR,EuroSTR,EUR-EuroSTR Average 12M,EuroSTR Average 12 Month
EUR,EuroSTR,EUR-EuroSTR Average 1M,EuroSTR Average 1 Month
EUR,EuroSTR,EUR-EuroSTR Average 1W,EuroSTR Average 1 Week
EUR,EuroSTR,EUR-EuroSTR Average 3M,EuroSTR Average 3 Month
EUR,EuroSTR,EUR-EuroSTR Average 6M,EuroSTR Average 6 Month
EUR,EuroSTR,EUR-EuroSTR-COMPOUND,EuroSTR Compound
EUR,EuroSTR,EUR-EuroSTR Compounded Index,EuroSTR Compounded Index
EUR,EuroSTR,EUR-EuroSTR FTSE Term,EuroSTR FTSE Term
EUR,EuroSTR,EUR-EuroSTR ICE Compounded Index,EuroSTR ICE Compounded Index
EUR,EuroSTR,EUR-EuroSTR ICE Compounded Index 0 Floor,EuroSTR ICE Compounded Index 0 Floor
EUR,EuroSTR,EUR-EuroSTR ICE Compounded Index 0 Floor 2D Lag,EuroSTR ICE Compounded Index 0 Floor 2D Lag
EUR,EuroSTR,EUR-EuroSTR ICE Compounded Index 0 Floor 5D Lag,EuroSTR ICE Compounded Index 0 Floor 5D Lag
EUR,EuroSTR,EUR-EuroSTR ICE Compounded Index 2D Lag,EuroSTR ICE Compounded Index 2D Lag
EUR,EuroSTR,EUR-EuroSTR ICE Compounded Index 5D Lag,EuroSTR ICE Compounded Index 5D Lag
EUR,EuroSTR,EUR-EuroSTR ICE Swap Rate,EuroSTR ICE Swap Rate
EUR,EuroSTR,EUR-EuroSTR-OIS Compound,EuroSTR OIS Compound
EUR,EuroSTR,EUR-EuroSTR Term,EuroSTR Term
EUR,ISDA,EUR-ISDA-EURIBOR Swap Rate-11:00,ISDA EURIBOR Swap Rate 11:00
EUR,ISDA,EUR-ISDA-EURIBOR Swap Rate-12:00,ISDA EURIBOR Swap Rate 12:00
EUR,ISDA,EUR-ISDA-LIBOR Swap Rate-10:00,ISDA LIBOR Swap Rate 10:00
EUR,ISDA,EUR-ISDA-LIBOR Swap Rate-11:00,ISDA LIBOR Swap Rate 11:00
EUR,LIBOR,EUR-LIBOR,EUR LIBOR
EUR,LIBOR,EUR-LIBOR-BBA,EUR LIBOR BBA
EUR,LIBOR,EUR-LIBOR-BBA-Bloomberg,EUR LIBOR BBA Bloomberg
EUR,LIBOR,EUR-LIBOR-Reference Banks,EUR LIBOR Reference Banks
EUR,TAM,EUR-TAM-CDC,EUR TAM CDC
EUR,TEC10,EUR-TEC10-CNO,EUR TEC10 CNO
EUR,TEC10,EUR-TEC10-CNO-SwapMarker,EUR TEC10 CNO SwapMarker
EUR,TEC10,EUR-TEC10-Reference Banks,EUR TEC10 Reference Banks
EUR,TEC5,EUR-TEC5-CNO,EUR TEC5 CNO
EUR,TEC5,EUR-TEC5-CNO-SwapMarker,EUR TEC5 CNO SwapMarker
EUR,TEC5,EUR-TEC5-Reference Banks,EUR TEC5 Reference Banks
EUR,TMM,EUR-TMM-CDC-COMPOUND,EUR TMM CDC Compound
EUR,Basis Swap,EUR USD-Basis Swaps-11:00-ICAP,EUR USD Basis Swaps 11:00 ICAP
GBP,LIBOR Swap,GBP-6M LIBOR SWAP-CME vs LCH-ICAP,6M LIBOR Swap CME vs LCH ICAP
GBP,LIBOR Swap,GBP-6M LIBOR SWAP-CME vs LCH-ICAP-Bloomberg,6M LIBOR Swap CME vs LCH ICAP Bloomberg
GBP,LIBOR Swap,GBP-6M LIBOR SWAP-EUREX vs LCH-ICAP,6M LIBOR Swap EUREX vs LCH ICAP
GBP,LIBOR Swap,GBP-6M LIBOR SWAP-EUREX vs LCH-ICAP-Bloomberg,6M LIBOR Swap EUREX vs LCH ICAP Bloomberg
GBP,ISDA,GBP-ISDA-Swap Rate,GBP ISDA Swap Rate
GBP,LIBOR,GBP-LIBOR,GBP LIBOR
GBP,LIBOR,GBP-LIBOR-BBA,GBP LIBOR BBA
GBP,LIBOR,GBP-LIBOR-BBA-Bloomberg,GBP LIBOR BBA Bloomberg
GBP,LIBOR,GBP-LIBOR ICE Swap Rate,GBP LIBOR ICE Swap Rate
GBP,LIBOR,GBP-LIBOR-ISDA,GBP LIBOR ISDA
GBP,LIBOR,GBP-LIBOR-Reference Banks,GBP LIBOR Reference Banks
GBP,RONIA,GBP-RONIA,Reformed Sterling Overnight Index Average
GBP,RONIA,GBP-RONIA-OIS Compound,RONIA OIS Compound
GBP,Swap Rate,GBP-Semi-Annual Swap Rate,Semi-Annual Swap Rate
GBP,Swap Rate,GBP-Semi-Annual Swap Rate-11:00-ICAP,Semi-Annual Swap Rate 11:00 ICAP
GBP,Swap Rate,GBP-Semi Annual Swap Rate-11:00-TRADITION,Semi Annual Swap Rate 11:00 TRADITION
GBP,Swap Rate,GBP-Semi Annual Swap Rate-4:15-TRADITION,Semi Annual Swap Rate 4:15 TRADITION
GBP,Swap Rate,GBP-Semi-Annual Swap Rate-Reference Banks,Semi-Annual Swap Rate Reference Banks
GBP,Swap Rate,GBP-Semi-Annual Swap Rate-SwapMarker26,Semi-Annual Swap Rate SwapMarker26
GBP,SONIA,GBP-SONIA,Sterling Overnight Index Average
GBP,SONIA,GBP-SONIA-COMPOUND,SONIA Compound
GBP,SONIA,GBP-SONIA Compounded Index,SONIA Compounded Index
GBP,SONIA,GBP-SONIA FTSE Term,SONIA FTSE Term
GBP,SONIA,GBP-SONIA ICE Compounded Index,SONIA ICE Compounded Index
GBP,SONIA,GBP-SONIA ICE Compounded Index 0 Floor,SONIA ICE Compounded Index 0 Floor
GBP,SONIA,GBP-SONIA ICE Compounded Index 0 Floor 2D Lag,SONIA ICE Compounded Index 0 Floor 2D Lag
GBP,SONIA,GBP-SONIA ICE Compounded Index 0 Floor 5D Lag,SONIA ICE Compounded Index 0 Floor 5D Lag
GBP,SONIA,GBP-SONIA ICE Compounded Index 2D Lag,SONIA ICE Compounded Index 2D Lag
GBP,SONIA,GBP-SONIA ICE Compounded Index 5D Lag,SONIA ICE Compounded Index 5D Lag
GBP,SONIA,GBP-SONIA ICE Swap Rate,SONIA ICE Swap Rate
GBP,SONIA,GBP-SONIA ICE Term,SONIA ICE Term
GBP,SONIA,GBP-SONIA-OIS-11:00-ICAP,SONIA OIS 11:00 ICAP
GBP,SONIA,GBP-SONIA-OIS-11:00-TRADITION,SONIA OIS 11:00 TRADITION
GBP,SONIA,GBP-SONIA-OIS-4:15-TRADITION,SONIA OIS 4:15 TRADITION
GBP,SONIA,GBP-SONIA-OIS Compound,SONIA OIS Compound
GBP,SONIA,GBP-SONIA Swap Rate,SONIA Swap Rate
GBP,Base Rate,GBP-UK Base Rate,UK Base Rate
GBP,Basis Swap,GBP USD-Basis Swaps-11:00-ICAP,GBP USD Basis Swaps 11:00 ICAP
GBP,WMBA,GBP-WMBA-RONIA-COMPOUND,WMBA RONIA Compound
GBP,WMBA,GBP-WMBA-SONIA-COMPOUND,WMBA SONIA Compound
GRD,ATHIBOR,GRD-ATHIBOR-ATHIBOR,Greek Drachma ATHIBOR
GRD,ATHIBOR,GRD-ATHIBOR-Reference Banks,Greek Drachma ATHIBOR Reference Banks
GRD,ATHIBOR,GRD-ATHIBOR-Telerate,Greek Drachma ATHIBOR Telerate
GRD,ATHIMID,GRD-ATHIMID-Reference Banks,Greek Drachma ATHIMID Reference Banks
GRD,ATHIMID,GRD-ATHIMID-Reuters,Greek Drachma ATHIMID Reuters
HKD,HIBOR,HKD-HIBOR,Hong Kong Interbank Offered Rate
HKD,HIBOR,HKD-HIBOR-HIBOR=,HIBOR= (Rate Code)
HKD,HIBOR,HKD-HIBOR-HIBOR-Bloomberg,HIBOR via Bloomberg
HKD,HIBOR,HKD-HIBOR-HKAB,HIBOR Hong Kong Association of Banks
HKD,HIBOR,HKD-HIBOR-HKAB-Bloomberg,HIBOR HKAB via Bloomberg
HKD,HIBOR,HKD-HIBOR-ISDC,HIBOR ISDC
HKD,HIBOR,HKD-HIBOR-Reference Banks,HIBOR Reference Banks
HKD,HONIA,HKD-HONIA,Hong Kong Dollar Overnight Index Average
HKD,HONIA,HKD-HONIA-OIS Compound,HONIA OIS Compound
HKD,HONIX,HKD-HONIX-OIS-COMPOUND,HONIX OIS Compound
HKD,ISDA,HKD-ISDA-Swap Rate-11:00,ISDA Swap Rate 11:00
HKD,ISDA,HKD-ISDA-Swap Rate-4:00,ISDA Swap Rate 4:00
HKD,Swap Rate,HKD-Quarterly-Annual Swap Rate-11:00-BGCANTOR,Quarterly-Annual Swap Rate 11:00 BGCANTOR
HKD,Swap Rate,HKD-Quarterly-Annual Swap Rate-11:00-TRADITION,Quarterly-Annual Swap Rate 11:00 TRADITION
HKD,Swap Rate,HKD-Quarterly-Annual Swap Rate-4:00-BGCANTOR,Quarterly-Annual Swap Rate 4:00 BGCANTOR
HKD,Swap Rate,HKD-Quarterly-Annual Swap Rate-Reference Banks,Quarterly-Annual Swap Rate Reference Banks
HKD,Swap Rate,HKD-Quarterly-Quarterly Swap Rate-11:00-ICAP,Quarterly-Quarterly Swap Rate 11:00 ICAP
HKD,Swap Rate,HKD-Quarterly-Quarterly Swap Rate-4:00-ICAP,Quarterly-Quarterly Swap Rate 4:00 ICAP
HKD,Swap Rate,HKD-Quarterly-Quarterly Swap Rate-Reference Banks,Quarterly-Quarterly Swap Rate Reference Banks
HUF,BUBOR,HUF-BUBOR,Budapest Interbank Offered Rate
HUF,BUBOR,HUF-BUBOR-Reference Banks,BUBOR Reference Banks
HUF,BUBOR,HUF-BUBOR-Reuters,BUBOR Reuters
HUF,HUFONIA,HUF-HUFONIA,Hungarian Overnight Index Average
HUF,HUFONIA,HUF-HUFONIA-OIS Compound,HUFONIA OIS Compound
IDR,IDMA,IDR-IDMA-Bloomberg,Indonesian IDMA via Bloomberg
IDR,IDRFIX,IDR-IDRFIX,Indonesian IDRFIX
IDR,INDONIA,IDR-INDONIA,Indonesian Overnight Index Average
IDR,INDONIA,IDR-INDONIA-OIS Compound,INDONIA OIS Compound
IDR,JIBOR,IDR-JIBOR,Jakarta Interbank Offered Rate
IDR,JIBOR,IDR-JIBOR-Reuters,JIBOR Reuters
IDR,SBI,IDR-SBI-Reuters,Indonesian SBI via Reuters
IDR,Swap Rate,IDR-Semi-Annual Swap Rate-11:00-BGCANTOR,Semi-Annual Swap Rate 11:00 BGCANTOR
IDR,Swap Rate,IDR-Semi Annual Swap Rate-Non-deliverable-16:00-Tullett Prebon,Semi Annual Swap Rate Non-deliverable 16:00 Tullett Prebon
IDR,Swap Rate,IDR-Semi-Annual Swap Rate-Reference Banks,Semi-Annual Swap Rate Reference Banks
IDR,SOR,IDR-SOR-Reference Banks,Indonesian SOR Reference Banks
IDR,SOR,IDR-SOR-Reuters,Indonesian SOR Reuters
IDR,SOR,IDR-SOR-Telerate,Indonesian SOR Telerate
ILS,SHIR,ILS-SHIR,Israeli Shekel Interest Rate
ILS,SHIR,ILS-SHIR-OIS Compound,SHIR OIS Compound
ILS,TELBOR,ILS-TELBOR,Tel Aviv Interbank Offered Rate
ILS,TELBOR,ILS-TELBOR01-Reuters,TELBOR01 Reuters
ILS,TELBOR,ILS-TELBOR-Reference Banks,TELBOR Reference Banks
INR,BMK,INR-BMK,Indian Rupee BMK
INR,CMT,INR-CMT,Indian Rupee CMT
INR,MIBOR,INR-FBIL-MIBOR-OIS-COMPOUND,FBIL MIBOR OIS Compound
INR,INBMK,INR-INBMK-REUTERS,INBMK Reuters
INR,MIBOR,INR-MIBOR OIS,Mumbai Interbank Offered Rate OIS
INR,MIBOR,INR-MIBOR-OIS Compound,MIBOR OIS Compound
INR,MIBOR,INR-MIBOR-OIS-COMPOUND,MIBOR OIS Compound (Alternative)
